experiment,scenario_id,swap_order,control_avg_logprob,prevention_avg_logprob,prevention_minus_control
baseline,S1,False,-6.041666666666667,-7.75,-1.708333333333333
baseline,S1,True,-3.7083333333333335,-6.708333333333333,-2.9999999999999996
baseline,S2,False,-5.666666666666667,-7.375,-1.708333333333333
baseline,S2,True,-3.6041666666666665,-4.6875,-1.0833333333333335
baseline,S3,False,-5.916666666666667,-8.416666666666666,-2.499999999999999
baseline,S3,True,-3.625,-8.125,-4.5
baseline,S4,False,-6.208333333333333,-7.208333333333333,-1.0
baseline,S4,True,-3.9166666666666665,-4.9375,-1.0208333333333335
baseline,S5,False,-6.375,-6.333333333333333,0.04166666666666696
baseline,S5,True,-6.5,-3.4583333333333335,3.0416666666666665
baseline,S6,False,-6.75,-5.0625,1.6875
baseline,S6,True,-8.041666666666666,-3.7916666666666665,4.25
baseline,S7,False,-5.541666666666667,-7.208333333333333,-1.666666666666666
baseline,S7,True,-3.75,-4.333333333333333,-0.583333333333333
baseline,S8,False,-5.666666666666667,-7.458333333333333,-1.791666666666666
baseline,S8,True,-3.4375,-6.791666666666667,-3.354166666666667
