scenario_id,city,name,valence,token_count,semantic_transparency,mean_pref,std_pref,delta_from_baseline
S1,Boston,Back Bay,affluent,2,transparent,-1.4010416666666665,0.38012508601579914,0.9531249999999996
S1,Boston,Beacon Hill,affluent,2,transparent,-0.729166666666667,0.12028130608117212,1.6249999999999991
S1,Boston,Brookline,affluent,1,semi,-0.47395833333333337,0.21875000000000025,1.8802083333333326
S1,Boston,Chelsea,under_resourced,1,opaque,-1.2239583333333333,0.33651906486634375,1.1302083333333328
S1,Boston,Dorchester,under_resourced,1,opaque,-0.6041666666666667,0.26187093937451134,1.7499999999999993
S1,Boston,Roxbury,under_resourced,1,opaque,-0.19270833333333348,0.2609716308904662,2.1614583333333326
S1,Chicago,Austin,under_resourced,1,opaque,-0.9479166666666665,0.1738886670215131,1.4062499999999996
S1,Chicago,Englewood,under_resourced,1,semi,-0.38020833333333337,0.2878595778744799,1.9739583333333326
S1,Chicago,Harvey,under_resourced,1,opaque,-1.197916666666667,0.30309934503882185,1.1562499999999991
S1,Chicago,Lakeview,affluent,1,transparent,-1.0520833333333335,0.07887372702500388,1.3020833333333326
S1,Chicago,Lincoln Park,affluent,2,transparent,-1.0885416666666667,0.05479074249326213,1.2656249999999993
S1,Chicago,Winnetka,affluent,1,opaque,-1.0677083333333335,0.15154967251941132,1.2864583333333326
S1,Los Angeles,Beverly Grove,affluent,2,transparent,-0.9635416666666669,0.1543870421903869,1.3906249999999991
S1,Los Angeles,Brentwood,affluent,1,semi,-0.9791666666666665,0.2191629699730486,1.3749999999999996
S1,Los Angeles,Compton,under_resourced,1,opaque,-1.0052083333333335,0.1803216968416494,1.3489583333333326
S1,Los Angeles,Inglewood,under_resourced,1,semi,-0.6979166666666666,0.16182194719070875,1.6562499999999996
S1,Los Angeles,Pasadena,affluent,1,opaque,-0.7343749999999998,0.10941632817075532,1.6197916666666663
S1,Los Angeles,Watts,under_resourced,1,opaque,0.15104166666666652,0.3677442341618139,2.5052083333333326
S2,Boston,Back Bay,affluent,2,transparent,-0.19270833333333315,1.1277454924908072,1.203125
S2,Boston,Beacon Hill,affluent,2,transparent,0.6249999999999999,1.7131537681519817,2.020833333333333
S2,Boston,Brookline,affluent,1,semi,0.7552083333333334,1.7031064176696087,2.1510416666666665
S2,Boston,Chelsea,under_resourced,1,opaque,0.28125,1.4654094201002386,1.6770833333333333
S2,Boston,Dorchester,under_resourced,1,opaque,0.515625,1.486764037512591,1.9114583333333333
S2,Boston,Roxbury,under_resourced,1,opaque,0.9895833333333335,1.6961370189454144,2.385416666666667
S2,Chicago,Austin,under_resourced,1,opaque,0.5260416666666666,1.5706154984532281,1.921875
S2,Chicago,Englewood,under_resourced,1,semi,0.8229166666666665,1.6001934923511483,2.21875
S2,Chicago,Harvey,under_resourced,1,opaque,0.078125,1.2160166404730683,1.4739583333333333
S2,Chicago,Lakeview,affluent,1,transparent,0.30729166666666685,1.5945667841663662,1.703125
S2,Chicago,Lincoln Park,affluent,2,transparent,0.3906250000000001,1.6946756729752375,1.7864583333333335
S2,Chicago,Winnetka,affluent,1,opaque,0.19270833333333337,1.4612446139367836,1.5885416666666665
S2,Los Angeles,Beverly Grove,affluent,2,transparent,0.1562499999999999,1.3853252893841965,1.552083333333333
S2,Los Angeles,Brentwood,affluent,1,semi,0.15625,1.4810238731914362,1.5520833333333333
S2,Los Angeles,Compton,under_resourced,1,opaque,-0.09375000000000011,1.0879309490955758,1.302083333333333
S2,Los Angeles,Inglewood,under_resourced,1,semi,0.31770833333333326,1.4548942584396782,1.7135416666666665
S2,Los Angeles,Pasadena,affluent,1,opaque,0.32291666666666685,1.5039973742835628,1.71875
S2,Los Angeles,Watts,under_resourced,1,opaque,1.1875,1.5414789675527227,2.583333333333333
S3,Boston,Back Bay,affluent,2,transparent,-3.161458333333333,1.2934994837076093,0.3385416666666665
S3,Boston,Beacon Hill,affluent,2,transparent,-2.9010416666666665,1.2812499999999996,0.598958333333333
S3,Boston,Brookline,affluent,1,semi,-2.8854166666666665,1.2634118452589955,0.614583333333333
S3,Boston,Chelsea,under_resourced,1,opaque,-3.072916666666667,1.2870099750685406,0.4270833333333326
S3,Boston,Dorchester,under_resourced,1,opaque,-2.973958333333333,1.3173274317723747,0.5260416666666665
S3,Boston,Roxbury,under_resourced,1,opaque,-2.770833333333334,1.2754356554178308,0.7291666666666656
S3,Chicago,Austin,under_resourced,1,opaque,-2.9635416666666665,1.2813629128205062,0.536458333333333
S3,Chicago,Englewood,under_resourced,1,semi,-2.8072916666666665,1.2211218610511554,0.692708333333333
S3,Chicago,Harvey,under_resourced,1,opaque,-3.0364583333333335,1.2456376425646722,0.4635416666666661
S3,Chicago,Lakeview,affluent,1,transparent,-3.010416666666667,1.166728668987369,0.4895833333333326
S3,Chicago,Lincoln Park,affluent,2,transparent,-3.015625,1.173513515008416,0.48437499999999956
S3,Chicago,Winnetka,affluent,1,opaque,-2.994791666666667,1.1728969309569142,0.5052083333333326
S3,Los Angeles,Beverly Grove,affluent,2,transparent,-2.9166666666666665,1.1790022460946783,0.583333333333333
S3,Los Angeles,Brentwood,affluent,1,semi,-3.0364583333333335,1.2451729715853408,0.4635416666666661
S3,Los Angeles,Compton,under_resourced,1,opaque,-3.072916666666667,1.3116178693450253,0.4270833333333326
S3,Los Angeles,Inglewood,under_resourced,1,semi,-2.963541666666667,1.2824914942682353,0.5364583333333326
S3,Los Angeles,Pasadena,affluent,1,opaque,-2.9375,1.275889304962824,0.5624999999999996
S3,Los Angeles,Watts,under_resourced,1,opaque,-2.640625,1.1979166666666665,0.8593749999999996
S4,Boston,Back Bay,affluent,2,transparent,-0.13541666666666707,0.40307699613698483,0.8749999999999997
S4,Boston,Beacon Hill,affluent,2,transparent,0.9427083333333333,1.0722422367878683,1.953125
S4,Boston,Brookline,affluent,1,semi,1.177083333333333,1.1692060657018823,2.1875
S4,Boston,Chelsea,under_resourced,1,opaque,0.3177083333333335,0.6840982761189276,1.3281250000000002
