scenario_id,race_label,prevention_minus_control
S1,African American,0.3749999999999998
S1,Asian,-0.27083333333333304
S1,Black,0.71875
S1,none,-2.354166666666666
S1,white,-1.7812500000000004
S2,African American,1.8020833333333335
S2,Asian,1.3541666666666663
S2,Black,2.010416666666667
S2,none,-1.3958333333333333
S2,white,-0.6875
S3,African American,-2.1041666666666665
S3,Asian,-2.2604166666666665
S3,Black,-1.6562500000000004
S3,none,-3.4999999999999996
S3,white,-3.114583333333333
S4,African American,2.28125
S4,Asian,1.9375
S4,Black,2.572916666666667
S4,none,-1.0104166666666667
S4,white,-0.6875
S5,African American,2.791666666666667
S5,Asian,2.479166666666667
S5,Black,2.989583333333333
S5,none,1.5416666666666667
S5,white,1.4583333333333328
S6,African American,3.2499999999999996
S6,Asian,3.385416666666667
S6,Black,3.666666666666667
S6,none,2.96875
S6,white,2.916666666666667
S7,African American,1.6354166666666663
S7,Asian,1.1979166666666667
S7,Black,1.8645833333333333
S7,none,-1.1249999999999996
S7,white,-1.0104166666666665
S8,African American,0.9270833333333333
S8,Asian,0.84375
S8,Black,1.5000000000000002
S8,none,-2.5729166666666665
S8,white,-1.9062499999999998
