label,layer,site,alpha,base_pref,steered_pref,delta_steer
S1_baseline,20,answer_pos,-3.0,-1.708333333333333,0.9791666666666665,2.6874999999999996
S1_baseline,20,answer_pos,-2.0,-1.708333333333333,-0.41666666666666696,1.291666666666666
S1_baseline,20,answer_pos,-1.0,-1.708333333333333,-1.75,-0.04166666666666696
S1_baseline,20,answer_pos,-0.5,-1.708333333333333,-1.833333333333333,-0.125
S1_baseline,20,answer_pos,0.5,-1.708333333333333,-1.458333333333334,0.2499999999999991
S1_baseline,20,answer_pos,1.0,-1.708333333333333,-1.291666666666667,0.4166666666666661
S1_baseline,20,answer_pos,2.0,-1.708333333333333,-0.791666666666667,0.9166666666666661
S1_baseline,20,answer_pos,3.0,-1.708333333333333,-0.5625,1.145833333333333
S1_baseline,22,answer_pos,-3.0,-1.708333333333333,0.9375000000000002,2.645833333333333
S1_baseline,22,answer_pos,-2.0,-1.708333333333333,-0.979166666666667,0.7291666666666661
S1_baseline,22,answer_pos,-1.0,-1.708333333333333,-1.833333333333333,-0.125
S1_baseline,22,answer_pos,-0.5,-1.708333333333333,-1.875,-0.16666666666666696
S1_baseline,22,answer_pos,0.5,-1.708333333333333,-1.375,0.33333333333333304
S1_baseline,22,answer_pos,1.0,-1.708333333333333,-1.083333333333334,0.6249999999999991
S1_baseline,22,answer_pos,2.0,-1.708333333333333,-0.41666666666666696,1.291666666666666
S1_baseline,22,answer_pos,3.0,-1.708333333333333,-0.25,1.458333333333333
S5_baseline,20,answer_pos,-3.0,0.04166666666666696,1.703125,1.661458333333333
S5_baseline,20,answer_pos,-2.0,0.04166666666666696,1.020833333333333,0.9791666666666661
S5_baseline,20,answer_pos,-1.0,0.04166666666666696,-0.04166666666666696,-0.08333333333333393
S5_baseline,20,answer_pos,-0.5,0.04166666666666696,-0.08333333333333393,-0.1250000000000009
S5_baseline,20,answer_pos,0.5,0.04166666666666696,0.25,0.20833333333333304
S5_baseline,20,answer_pos,1.0,0.04166666666666696,0.375,0.33333333333333304
S5_baseline,20,answer_pos,2.0,0.04166666666666696,0.75,0.708333333333333
S5_baseline,20,answer_pos,3.0,0.04166666666666696,0.7291666666666665,0.6874999999999996
S5_baseline,22,answer_pos,-3.0,0.04166666666666696,1.71875,1.677083333333333
S5_baseline,22,answer_pos,-2.0,0.04166666666666696,0.604166666666667,0.5625
S5_baseline,22,answer_pos,-1.0,0.04166666666666696,-0.08333333333333304,-0.125
