scenario_id,city,name,valence,original_pref,prompt_debiased_pref
S1,Boston,Back Bay,affluent,-1.041666666666666,0.5833333333333339
S1,Boston,Beacon Hill,affluent,-0.75,0.5833333333333339
S1,Boston,Brookline,affluent,-0.583333333333333,0.666666666666667
S1,Boston,Roxbury,under_resourced,-0.375,1.083333333333333
S1,Boston,Dorchester,under_resourced,-0.625,0.666666666666667
S1,Boston,Chelsea,under_resourced,-0.958333333333333,0.33333333333333304
S1,Chicago,Lincoln Park,affluent,-1.125,0.666666666666667
S1,Chicago,Lakeview,affluent,-1.041666666666667,0.5
S1,Chicago,Winnetka,affluent,-1.0,0.41666666666666696
S1,Chicago,Englewood,under_resourced,-0.583333333333333,0.916666666666667
S1,Chicago,Austin,under_resourced,-0.7916666666666661,0.791666666666667
S1,Chicago,Harvey,under_resourced,-0.9583333333333339,0.791666666666667
S1,Los Angeles,Brentwood,affluent,-0.833333333333333,0.75
S1,Los Angeles,Beverly Grove,affluent,-0.875,0.541666666666667
S1,Los Angeles,Pasadena,affluent,-0.6666666666666661,0.583333333333333
S1,Los Angeles,Watts,under_resourced,-0.16666666666666696,1.270833333333334
S1,Los Angeles,Compton,under_resourced,-0.8333333333333339,1.020833333333333
S1,Los Angeles,Inglewood,under_resourced,-0.75,0.833333333333333
S2,Boston,Back Bay,affluent,-1.125,0.0
S2,Boston,Beacon Hill,affluent,-0.9583333333333339,0.25
S2,Boston,Brookline,affluent,-0.791666666666667,0.20833333333333304
S2,Boston,Roxbury,under_resourced,-0.5,0.4166666666666661
S2,Boston,Dorchester,under_resourced,-0.791666666666667,0.20833333333333393
S2,Boston,Chelsea,under_resourced,-0.958333333333333,-0.041666666666666075
S2,Chicago,Lincoln Park,affluent,-1.125,-0.04166666666666696
S2,Chicago,Lakeview,affluent,-1.0625,-0.04166666666666696
S2,Chicago,Winnetka,affluent,-1.125,0.0
S2,Chicago,Englewood,under_resourced,-0.5833333333333339,0.29166666666666696
S2,Chicago,Austin,under_resourced,-0.791666666666667,0.125
S2,Chicago,Harvey,under_resourced,-1.0,-0.04166666666666696
S2,Los Angeles,Brentwood,affluent,-1.125,0.14583333333333304
S2,Los Angeles,Beverly Grove,affluent,-1.083333333333334,0.0
S2,Los Angeles,Pasadena,affluent,-0.958333333333333,0.0
S2,Los Angeles,Watts,under_resourced,-0.0625,0.708333333333333
S2,Los Angeles,Compton,under_resourced,-0.9583333333333339,0.47916666666666696
S2,Los Angeles,Inglewood,under_resourced,-0.979166666666667,0.125
S3,Boston,Back Bay,affluent,-2.083333333333333,-1.25
S3,Boston,Beacon Hill,affluent,-1.791666666666667,-1.208333333333333
S3,Boston,Brookline,affluent,-1.791666666666667,-1.291666666666667
S3,Boston,Roxbury,under_resourced,-1.708333333333334,-1.166666666666667
S3,Boston,Dorchester,under_resourced,-1.833333333333333,-1.208333333333334
S3,Boston,Chelsea,under_resourced,-1.958333333333333,-1.25
S3,Chicago,Lincoln Park,affluent,-1.958333333333333,-1.25
S3,Chicago,Lakeview,affluent,-2.0,-1.333333333333334
S3,Chicago,Winnetka,affluent,-2.0,-1.375
S3,Chicago,Englewood,under_resourced,-1.75,-1.166666666666667
S3,Chicago,Austin,under_resourced,-1.875,-1.166666666666667
S3,Chicago,Harvey,under_resourced,-2.0,-1.291666666666666
S3,Los Angeles,Brentwood,affluent,-1.958333333333333,-1.333333333333333
S3,Los Angeles,Beverly Grove,affluent,-1.875,-1.375
S3,Los Angeles,Pasadena,affluent,-1.791666666666667,-1.291666666666667
S3,Los Angeles,Watts,under_resourced,-1.541666666666667,-0.791666666666667
S3,Los Angeles,Compton,under_resourced,-1.958333333333334,-1.083333333333333
S3,Los Angeles,Inglewood,under_resourced,-1.875,-1.208333333333333
