experiment,scenario_id,city,name,valence,token_count,semantic_transparency,template,swap_order,control_avg_logprob,prevention_avg_logprob,prevention_minus_control
name,S1,Boston,Back Bay,affluent,2,transparent,T1,False,-4.833333333333333,-3.0625,1.770833333333333
name,S1,Boston,Back Bay,affluent,2,transparent,T1,True,-5.583333333333333,-3.3541666666666665,2.2291666666666665
name,S1,Boston,Back Bay,affluent,2,transparent,T2,False,-4.75,-3.1875,1.5625
name,S1,Boston,Back Bay,affluent,2,transparent,T2,True,-5.625,-3.3333333333333335,2.2916666666666665
name,S1,Boston,Beacon Hill,affluent,2,transparent,T1,False,-5.020833333333333,-2.875,2.145833333333333
name,S1,Boston,Beacon Hill,affluent,2,transparent,T1,True,-5.583333333333333,-3.4791666666666665,2.1041666666666665
name,S1,Boston,Beacon Hill,affluent,2,transparent,T2,False,-4.875,-3.2083333333333335,1.6666666666666665
name,S1,Boston,Beacon Hill,affluent,2,transparent,T2,True,-5.625,-3.3958333333333335,2.2291666666666665
name,S1,Boston,Brookline,affluent,1,semi,T1,False,-4.979166666666667,-3.0416666666666665,1.9375000000000004
name,S1,Boston,Brookline,affluent,1,semi,T1,True,-5.625,-3.4791666666666665,2.1458333333333335
name,S1,Boston,Brookline,affluent,1,semi,T2,False,-4.854166666666667,-3.1875,1.666666666666667
name,S1,Boston,Brookline,affluent,1,semi,T2,True,-5.625,-3.375,2.25
name,S1,Boston,Roxbury,under_resourced,1,opaque,T1,False,-5.1875,-3.1458333333333335,2.0416666666666665
name,S1,Boston,Roxbury,under_resourced,1,opaque,T1,True,-5.75,-3.5,2.25
name,S1,Boston,Roxbury,under_resourced,1,opaque,T2,False,-4.6875,-3.5,1.1875
name,S1,Boston,Roxbury,under_resourced,1,opaque,T2,True,-5.583333333333333,-3.7708333333333335,1.8124999999999996
name,S1,Boston,Dorchester,under_resourced,1,opaque,T1,False,-5.083333333333333,-2.9791666666666665,2.1041666666666665
name,S1,Boston,Dorchester,under_resourced,1,opaque,T1,True,-5.625,-3.6458333333333335,1.9791666666666665
name,S1,Boston,Dorchester,under_resourced,1,opaque,T2,False,-4.916666666666667,-3.2291666666666665,1.6875000000000004
name,S1,Boston,Dorchester,under_resourced,1,opaque,T2,True,-5.541666666666667,-3.4375,2.104166666666667
name,S1,Boston,Chelsea,under_resourced,1,opaque,T1,False,-5.208333333333333,-2.9583333333333335,2.2499999999999996
name,S1,Boston,Chelsea,under_resourced,1,opaque,T1,True,-5.625,-3.6666666666666665,1.9583333333333335
name,S1,Boston,Chelsea,under_resourced,1,opaque,T2,False,-5.020833333333333,-3.2291666666666665,1.7916666666666665
name,S1,Boston,Chelsea,under_resourced,1,opaque,T2,True,-5.583333333333333,-3.4791666666666665,2.1041666666666665
name,S1,Chicago,Lincoln Park,affluent,2,transparent,T1,False,-5.0,-3.0416666666666665,1.9583333333333335
name,S1,Chicago,Lincoln Park,affluent,2,transparent,T1,True,-5.5,-3.5625,1.9375
name,S1,Chicago,Lincoln Park,affluent,2,transparent,T2,False,-4.875,-3.1875,1.6875
name,S1,Chicago,Lincoln Park,affluent,2,transparent,T2,True,-5.666666666666667,-3.3958333333333335,2.2708333333333335
name,S1,Chicago,Lakeview,affluent,1,transparent,T1,False,-5.083333333333333,-2.9791666666666665,2.1041666666666665
name,S1,Chicago,Lakeview,affluent,1,transparent,T1,True,-5.625,-3.5416666666666665,2.0833333333333335
name,S1,Chicago,Lakeview,affluent,1,transparent,T2,False,-4.854166666666667,-3.3958333333333335,1.4583333333333335
name,S1,Chicago,Lakeview,affluent,1,transparent,T2,True,-5.666666666666667,-3.25,2.416666666666667
name,S1,Chicago,Winnetka,affluent,1,opaque,T1,False,-4.854166666666667,-2.9583333333333335,1.8958333333333335
name,S1,Chicago,Winnetka,affluent,1,opaque,T1,True,-5.541666666666667,-3.625,1.916666666666667
name,S1,Chicago,Winnetka,affluent,1,opaque,T2,False,-4.645833333333333,-3.3333333333333335,1.3124999999999996
name,S1,Chicago,Winnetka,affluent,1,opaque,T2,True,-5.583333333333333,-3.4166666666666665,2.1666666666666665
name,S1,Chicago,Englewood,under_resourced,1,semi,T1,False,-5.041666666666667,-2.8958333333333335,2.1458333333333335
name,S1,Chicago,Englewood,under_resourced,1,semi,T1,True,-5.5,-3.6458333333333335,1.8541666666666665
name,S1,Chicago,Englewood,under_resourced,1,semi,T2,False,-4.833333333333333,-3.1875,1.645833333333333
name,S1,Chicago,Englewood,under_resourced,1,semi,T2,True,-5.583333333333333,-3.6041666666666665,1.9791666666666665
name,S1,Chicago,Austin,under_resourced,1,opaque,T1,False,-5.145833333333333,-3.0208333333333335,2.1249999999999996
name,S1,Chicago,Austin,under_resourced,1,opaque,T1,True,-5.458333333333333,-3.75,1.708333333333333
name,S1,Chicago,Austin,under_resourced,1,opaque,T2,False,-4.916666666666667,-3.2291666666666665,1.6875000000000004
name,S1,Chicago,Austin,under_resourced,1,opaque,T2,True,-5.5,-3.4166666666666665,2.0833333333333335
